Title,Link
"Biology's talks from world-renowned researchers","https://www.ibiology.org/"
"OpenWetWare's community resources for biologists","https://openwetware.org/wiki/Main_Page"
"iGEM Foundation for synthetic biology","https://igem.org/"
"BioBricks Foundation for inter-lab information and data sharing","https://biobricks.org/"
"What is bioinformatics?","https://www.yourgenome.org/facts/what-is-bioinformatics-and-how-do-we-use-it/"
"Learn bioinformatics on Rosalind","https://rosalind.info/"
"Canadian Bioinformatics Workshops","https://bioinformaticsdotca.github.io/"
"RNA-seq Bioinformatics","https://rnabio.org/"
"Bioinformatics.org","https://www.bioinformatics.org/"
"Biostars (Stackoverflow for bioinformatics)","https://www.biostars.org/"
